Local, Out-upper, In-lower, Out-upper-impure, In-lower-impure, Out-jitter, In-jitter
1014147693986460, 1601330838873888706, 1601330838835662354, , , 506344, 646752
1014148732323669, 1601330838873382362, 1601330838836309106, , , 506344, 646752
1014149769638186, 1601330838870113166, 1601330838836766133, , , 424994, 141592
1014150803101941, 1601330838870538160, 1601330838836907725, , , 424994, 141592
1014151837126254, , , 1601330838870523545, 1601330838836749193, 3983745, 3236
1014152871125432, , , 1601330838874507290, 1601330838836752429, 3983745, 3236
1014153909104191, , , 1601330838884571308, 1601330838836937227, 11960609, 348208
1014154957009174, , , 1601330838872610699, 1601330838836589019, 11960609, 348208
1014155993480450, , , 1601330838868104177, 1601330838836614189, 2343771, 698028
1014157025127692, , , 1601330838870447948, 1601330838835916161, 2343771, 698028
1014158059842883, 1601330838869868726, 1601330838837058684, , , 1392595, 842245
1014159093122685, 1601330838868476131, 1601330838836216439, , , 1392595, 842245
1014160125829184, , , 1601330838869869152, 1601330838836746441, 2586891, 50431
1014161159187794, , , 1601330838872456043, 1601330838836696010, 2586891, 50431
1014162195276032, 1601330838872452216, 1601330838836932452, , , 1762790, 293776
1014163231084905, 1601330838870689426, 1601330838836638676, , , 1762790, 293776
1014164265396824, 1601330838868179487, 1601330838837107180, , , 1151388, 470162
1014165296820710, 1601330838869330875, 1601330838836637018, , , 1151388, 470162
1014166330087854, 1601330838871543281, 1601330838836542040, , , 1195827, 196986
1014167365265795, 1601330838870347454, 1601330838836739026, , , 1195827, 196986
1014168399088475, 1601330838872557988, 1601330838836696392, , , 1058799, 375886
1014169435142513, 1601330838871499189, 1601330838836320506, , , 1058799, 375886
1014170470784935, 1601330838868896675, 1601330838836758921, , , 556428, 95856
1014171503281372, 1601330838868340247, 1601330838836663065, , , 556428, 95856
1014172535284749, , , 1601330838872386490, 1601330838836938649, 16410161, 208667
1014173570812330, , , 1601330838888796651, 1601330838836729982, 16410161, 208667
1014174623081553, 1601330838871061620, 1601330838836754175, , , 1123826, 106968
1014175657535150, 1601330838872185446, 1601330838836861143, , , 1123826, 106968
1014176693058247, , , 1601330838870528175, 1601330838836670532, 2026404, 159973
1014177727061360, , , 1601330838872554579, 1601330838836510559, 2026404, 159973
1014178763575183, 1601330838871086526, 1601330838836347617, , , 1777208, 171669
1014179798743617, 1601330838872863734, 1601330838836519286, , , 1777208, 171669
1014180835418111, 1601330838870296520, 1601330838836879679, , , 292536, 290828
1014181869189849, 1601330838870589056, 1601330838836588851, , , 292536, 290828
1014182903579075, 1601330838869980439, 1601330838836666827, , , 673378, 280615
1014183936985961, 1601330838870653817, 1601330838836947442, , , 673378, 280615
1014184970876347, 1601330838868747660, 1601330838836807622, , , 1437, 147661
1014186002951678, 1601330838868749097, 1601330838836955283, , , 1437, 147661
1014187034983122, , , 1601330838870639157, 1601330838836545223, 2107637, 86988
1014188069268540, , , 1601330838868531520, 1601330838836632211, 2107637, 86988
1014189101562192, , , 1601330838868463906, 1601330838836318615, 3328161, 531477
1014190133929007, , , 1601330838871792067, 1601330838836850092, 3328161, 531477
1014191169371132, 1601330838872344561, 1601330838836663726, , , 211558, 215902
1014192205381800, 1601330838872556119, 1601330838836447824, , , 211558, 215902
1014193242110962, 1601330838871554784, 1601330838835884690, , , 66542, 1038747
1014194277970186, 1601330838871621326, 1601330838836923437, , , 66542, 1038747
1014195312953649, , , 1601330838870856540, 1601330838819852281, 1602748, 16535162
1014196364328011, , , 1601330838869253792, 1601330838836387443, 1602748, 16535162
1014197397534075, 1601330838872121387, 1601330838836673843, , , 142655, 258185
1014198433349914, 1601330838872264042, 1601330838836415658, , , 142655, 258185
1014199469752988, 1601330838869977393, 1601330838836666685, , , 718948, 173479
1014200503217300, 1601330838870696341, 1601330838836840164, , , 718948, 173479
1014201537536276, 1601330838870827313, 1601330838836353681, , , 1479646, 179957
1014202572231220, 1601330838869347667, 1601330838836533638, , , 1479646, 179957
1014203605593994, 1601330838872143384, 1601330838836553831, , , 90243, 160332
1014204641580336, 1601330838872053141, 1601330838836714163, , , 90243, 160332
1014205677467867, 1601330838870141381, 1601330838835687115, , , 703896, 1137908
1014206712127107, 1601330838869437485, 1601330838836825023, , , 703896, 1137908
1014207745293825, 1601330838871330510, 1601330838836854446, , , 1712078, 330855
1014208779950383, 1601330838869618432, 1601330838836523591, , , 1712078, 330855
1014209813595907, , , 1601330838876082613, 1601330838836586748, 5843075, 293640
1014210853462911, , , 1601330838870239538, 1601330838836880388, 5843075, 293640
1014211887018364, , , 1601330838872579736, 1601330838836576368, 2377125, 95703
1014212923377258, , , 1601330838870202611, 1601330838836672071, 2377125, 95703
1014213957147369, 1601330838872435618, 1601330838836813172, , , 190072, 161826
1014214993069239, 1601330838872625690, 1601330838836651346, , , 190072, 161826
1014216029643364, , , 1601330838871993429, 1601330838835877698, 2536441, 790109
1014217066183358, , , 1601330838869456988, 1601330838836667807, 2536441, 790109
1014218099359197, , , 1601330838868337035, 1601330838836608627, 2017489, 14768726
1014219131242831, , , 1601330838870354524, 1601330838821839901, 2017489, 14768726
1014220179924993, , , 1601330838869854226, 1601330838833001633, 41237644, 3947336
1014221216921730, , , 1601330838911091870, 1601330838836948969, 41237644, 3947336
1014222291331976, 1601330838870382223, 1601330838836947148, , , 1469561, 42066
1014223324877149, 1601330838868912662, 1601330838836989214, , , 1469561, 42066
1014224357002354, , , 1601330838871046131, 1601330838836979549, 3460734, 122633
1014225391178312, , , 1601330838874506865, 1601330838836856916, 3460734, 122633
1014226429139654, 1601330838870458016, 1601330838836680831, , , 179326, 202308
